일자,기온(°C),습도(%rh),체감온도(°C)
2004-01-01,2.6,10.8,-0.4
2004-01-02,1.9,12.6,-1.6
2004-01-03,1.8,7.6,-0.5
2004-01-04,-1.3,6.1,-3.6
2004-01-05,-2.1,6.8,-4.8
2004-01-06,2,7.6,-0.3
2004-01-07,-0.7,15.5,-5.4
2004-01-08,-3.8,7.6,-7.1
2004-01-09,-0.8,7.9,-3.6
2004-01-10,-3.4,8.3,-6.8
2004-01-11,-5.7,5.8,-8.5
2004-01-12,-4.5,20.9,-11.1
2004-01-13,-8.8,18,-15.9
2004-01-14,-8.1,14.8,-14.4
2004-01-15,-5,7.9,-8.6
2004-01-16,-2.9,8.3,-6.2
2004-01-17,1.1,11.5,-2.4
2004-01-18,-1.6,13.7,-6.1
2004-01-19,-3.2,11.9,-7.7
2004-01-20,-9.5,19.1,-17.1
2004-01-21,-16,16.2,-24.5
2004-01-22,-16.5,20.9,-26.3
2004-01-23,-12,9,-17.3
2004-01-24,-9.2,7.9,-13.5
2004-01-25,-8.2,12.2,-13.8
2004-01-26,-9.4,9,-14.2
2004-01-27,-8,7.6,-12
2004-01-28,-4.3,7.9,-7.8
2004-01-29,0,8.6,-2.9
2004-01-30,-1.1,4.7,-2.7
2004-02-01,-0.6,7.2,-3.2
2004-02-02,-5.6,14.4,-11.2
2004-02-03,-6.8,15.5,-12.9
2004-02-04,-5.4,10.1,-9.8
2004-02-05,-6.9,20.9,-14.1
2004-02-06,-7.4,7.6,-11.3
2004-02-07,-7.5,14.4,-13.5
2004-02-08,-3.7,11.9,-8.3
2004-02-09,-4.8,14.4,-10.2
2004-02-10,-5.6,6.5,-8.7
2004-02-11,0,8.6,-2.9
2004-02-12,-0.3,9.7,-3.6
2004-02-13,-0.9,8.3,-3.9
2004-02-14,2,23.4,-3.2
2004-02-15,0.6,11.5,-3
2004-02-16,-0.1,9,-3.2
2004-02-17,2.8,12.6,-0.5
2004-02-18,-0.4,10.1,-3.8
2004-02-19,1.6,7.2,-0.6
2004-02-20,3.6,8.3,1.4
2004-02-21,7.9,10.1,6.1
2004-02-22,1.5,21.2,-3.5
2004-02-23,-0.8,19.8,-6.2
2004-02-24,1.2,11.9,-2.3
2004-02-25,2.4,15.5,-1.5
2004-02-26,-0.8,21.6,-6.5
2004-02-27,-1.8,10.8,-5.7
2004-02-28,0.3,9.4,-2.8
2004-03-01,-1.1,16.6,-6.1
2004-03-02,-4.5,19.1,-10.8
2004-03-03,-4.2,11.9,-8.9
2004-03-04,-4.3,11.5,-8.9
2004-03-05,-1.7,16.6,-6.8
2004-03-06,-4.9,15.5,-10.6
2004-03-07,-5.7,15.1,-11.5
2004-03-08,-2,7.9,-5.1
2004-03-09,1.3,7.2,-1
2004-03-10,7.9,17.3,5
2004-03-11,3.3,10.8,0.4
2004-03-12,3,5,1.8
2004-03-13,4.3,8.6,2.2
2004-03-14,5,12.2,2.2
2004-03-15,2.3,7.6,0.1
2004-03-16,9.2,6.5,8.4
2004-03-17,-0.7,18.4,-5.9
2004-03-18,-1.8,18,-7.2
2004-03-19,-0.4,8.3,-3.3
2004-03-20,3.9,7.6,2
2004-03-21,4.9,10.8,2.4
2004-03-22,8.3,11.5,6.3
2004-03-23,5.5,9.4,3.4
2004-03-24,6.7,16.6,3.6
2004-03-25,5.7,6.8,4.3
2004-03-26,4.6,7.6,2.8
2004-03-27,6.5,6.5,5.3
2004-03-28,4.4,7.6,2.5
2004-03-30,6.7,19.8,3.2
2004-04-01,4.5,11.2,1.8
2004-04-02,4.7,23,0.3
2004-04-03,3.4,11.5,0.4
2004-04-04,2.7,5,1.5
2004-04-05,5.3,9.4,3.1
2004-04-06,5.6,6.1,4.4
2004-04-07,8.1,10.1,6.3
2004-04-08,5.3,9,3.2
2004-04-09,7.4,5,6.8
2004-04-10,8.9,10.1,7.3
2004-04-23,9.5,15.5,7.2
2004-04-24,7.9,9,6.3
2004-04-25,8.7,14.8,6.3
2004-04-26,7.7,24.5,4
2004-04-27,5.9,15.8,2.7
2004-04-28,5.3,6.5,3.9
2004-04-29,7.6,8.3,6.1
2004-05-01,25.6,36,24.5
2004-05-02,19.9,61.8,21.1
2004-05-03,17.1,91.4,20.2
2004-05-04,20.4,33.3,19.3
2004-05-05,21.6,36.4,20.8
2004-05-06,21.4,38,20.7
2004-05-07,23.9,26.5,21.9
2004-05-08,21.2,44.6,21.1
2004-05-09,17.9,64.8,19.3
2004-05-10,15.7,97.2,19.1
2004-05-11,22.5,57.5,23.3
2004-05-12,18.6,78.1,20.9
2004-05-13,19.2,63.7,20.5
2004-05-14,25.8,47.1,25.7
2004-05-15,18.6,71.2,20.4
2004-05-16,21.5,55.4,22.1
2004-05-17,17.8,62.3,19
2004-05-18,21.1,64.6,22.4
2004-05-19,24.2,47.9,24.2
2004-05-20,22.4,58.9,23.3
2004-05-21,21.2,44.7,21.1
2004-05-22,23.1,30.6,21.6
2004-05-23,22,41.8,21.6
2004-05-24,24.9,34.6,23.7
2004-05-25,25.8,26.8,23.7
2004-05-26,24.3,32.2,22.9
2004-05-27,27.6,40.3,26.8
2004-05-28,21.1,95.8,24.6
2004-05-29,24.8,62.9,26
2004-05-30,26.7,52.2,27
2004-05-31,25.4,32.1,23.9
2004-06-01,25.6,99.9,29.5
2004-06-02,30.4,30,28.3
2004-06-03,32.4,32.1,30.4
2004-06-04,30.9,37.1,29.6
2004-06-05,30.7,25.6,28
2004-06-06,24.5,52.6,24.9
2004-06-07,24.6,49.2,24.7
2004-06-08,22.3,60.6,23.4
2004-06-09,25.2,46,25
2004-06-10,28.9,49.2,28.9
2004-06-11,30,47.5,29.8
2004-06-12,30.6,29.1,28.3
2004-06-13,27.9,47.7,27.8
2004-06-14,29,25.4,26.4
2004-06-15,31.2,27.4,28.7
2004-06-16,30.9,29.5,28.6
2004-06-17,24.5,55.2,25.1
2004-06-18,23.9,76.2,26.1
2004-06-19,22.7,87,25.6
2004-06-20,23.5,90.7,26.7
2004-06-21,26.7,67.6,28.3
2004-06-22,24.9,70.1,26.7
2004-06-23,27,66.4,28.5
2004-06-24,30.1,52.7,30.4
2004-06-25,29.4,50,29.5
2004-06-26,28.4,59.3,29.3
2004-06-27,28.6,59.2,29.5
2004-06-28,25.9,67.5,27.4
2004-06-29,24.5,66.7,26
2004-06-30,29,59.1,29.9
2004-07-01,26.8,64.3,28.1
2004-07-02,23.8,93.4,27.2
2004-07-03,26.6,80.1,29.1
2004-07-04,22.8,89.9,25.9
2004-07-05,26.3,66.4,27.8
2004-07-06,26.3,79.7,28.8
2004-07-07,22.1,97.2,25.7
2004-07-08,23.4,80.5,25.9
2004-07-09,27.3,62.5,28.5
2004-07-10,28.9,56.4,29.5
2004-07-11,27.7,60.5,28.7
2004-07-12,23.1,96.5,26.7
2004-07-13,22.9,97.6,26.5
2004-07-14,27.5,71.6,29.4
2004-07-15,23.5,92.3,26.8
2004-07-16,24.6,93.2,28
2004-07-17,23.1,97.2,26.7
2004-07-18,28.2,76.5,30.5
2004-07-19,28.4,75.2,30.6
2004-07-20,26.8,85.1,29.7
2004-07-21,31.7,64.6,33.1
2004-07-22,31.9,60.3,32.9
2004-07-23,33,49.4,32.9
2004-07-24,30.9,54.6,31.4
2004-07-25,28,66.7,29.5
2004-07-26,29.3,66.9,30.8
2004-07-27,30.3,60.6,31.3
2004-07-28,32.7,54.7,33.2
2004-07-29,33.3,54.4,33.7
2004-07-30,33.4,53.4,33.7
2004-07-31,34.3,55.4,34.8
2004-08-01,34.2,45.4,33.7
2004-08-02,33.1,51.1,33.2
2004-08-03,32.7,51.9,32.9
2004-08-04,32.7,55.8,33.3
2004-08-05,32.2,58.3,33
2004-08-06,32.5,55.8,33.1
2004-08-07,32.4,55,32.9
2004-08-08,31.8,58.3,32.6
2004-08-09,32.9,55.8,33.5
2004-08-10,36,43.6,35.2
2004-08-11,35.2,32,33
2004-08-12,34.6,39.1,33.3
2004-08-13,32.5,51.8,32.7
2004-08-14,27,78.7,29.4
2004-08-15,30.8,48.5,30.7
2004-08-16,28.9,64.4,30.2
2004-08-17,26.2,80.6,28.8
2004-08-18,24.9,94.2,28.4
2004-08-19,25.4,60.1,26.4
2004-08-20,26.8,60.4,27.8
2004-08-21,25.5,70.7,27.3
2004-08-22,25.2,70.2,27
2004-08-23,25.9,61.1,27
2004-08-24,29.3,50.9,29.5
2004-08-25,27.5,65.2,28.8
2004-08-26,28.4,58.3,29.2
2004-08-27,28.4,58.9,29.3
2004-08-28,26.4,57.4,27.2
2004-08-29,29.7,55.7,30.3
2004-08-30,31.5,53.8,31.9
2004-08-31,29.4,50.4,29.5
2004-09-01,29,34.9,27.5
2004-09-02,28.2,42.9,27.6
2004-09-03,27.9,39.8,27
2004-09-04,29.8,42.1,29.1
2004-09-05,31.3,37.8,30.1
2004-09-06,29.7,45.1,29.3
2004-09-07,24.2,61.3,25.3
2004-09-08,27.2,47.3,27
2004-09-09,28.6,40.5,27.7
2004-09-10,26.8,41.3,26.1
2004-09-11,20.5,52.7,21
2004-09-12,23.5,86.2,26.4
2004-09-13,24.1,68.6,25.7
2004-09-14,28.6,53.4,29
2004-09-15,28.2,58.7,29.1
2004-09-16,27,65.7,28.4
2004-09-17,28.7,59.8,29.6
2004-09-18,23.8,83.1,26.5
2004-09-19,25.4,37.3,24.4
2004-09-20,20.5,49.7,20.8
2004-09-21,20.2,71.1,22
2004-09-22,24,50.9,24.3
2004-09-23,25,49.3,25.1
2004-09-24,26.8,43.5,26.3
2004-09-25,26.3,40.3,25.5
2004-09-26,23.5,53,24
2004-09-27,26,46.2,25.8
2004-09-28,25.2,55.2,25.8
2004-09-29,26.7,45.2,26.4
2004-09-30,26.2,50.2,26.4
2004-10-02,9.2,7.2,8.2
2004-10-03,7.4,5,6.8
2004-10-04,10,6.5,9.3
2004-10-05,10,4.7,9.8
2004-10-13,8,7.2,6.8
2004-10-14,6.1,10.4,3.9
2004-10-15,7.3,7.2,6
2004-10-22,8.6,6.8,7.6
2004-10-23,8.3,7.9,7
2004-10-24,9.9,9.7,8.6
2004-10-26,9,13.3,6.9
2004-10-27,5.5,7.9,3.7
2004-10-28,6.9,6.8,5.7
2004-10-29,8.1,6.5,7.1
2004-10-30,10,4.7,9.8
2004-11-02,8.2,9.7,6.5
2004-11-03,7.5,10.1,5.6
2004-11-04,9.1,7.2,8.1
2004-11-05,7.9,6.5,6.9
2004-11-06,4.5,13.3,1.4
2004-11-07,3.6,9,1.2
2004-11-08,7.9,6.5,6.9
2004-11-11,9.6,15.8,7.3
2004-11-12,3.4,13.7,0
2004-11-13,0.2,6.8,-2.1
2004-11-14,3.5,9,1.1
2004-11-15,4.2,22.7,-0.3
2004-11-16,1.4,7.9,-1.1
2004-11-17,4.9,8.3,2.9
2004-11-18,7.8,10.4,5.9
2004-11-19,6.6,5.4,5.8
2004-11-20,4.5,10.1,2
2004-11-21,2.5,5.4,1.1
2004-11-22,3,6.5,1.2
2004-11-23,3.7,9.4,1.2
2004-11-24,6.3,9,4.4
2004-11-25,5.9,8.3,4.1
2004-11-26,1.8,34.6,-4.5
2004-11-27,4.2,8.3,2.1
2004-11-28,5.4,8.3,3.5
2004-11-29,0.9,6.1,-1
2004-12-01,1.6,5.8,-0.1
2004-12-02,3.5,11.5,0.5
2004-12-03,6.6,6.1,5.5
2004-12-04,6.4,22.7,2.5
2004-12-05,0.7,19.8,-4.3
2004-12-06,-1.9,9.7,-5.5
2004-12-07,1.6,10.8,-1.6
2004-12-08,1.5,10.4,-1.6
2004-12-09,5.7,9.4,3.6
2004-12-10,3.5,11.2,0.6
2004-12-11,-0.2,7.2,-2.7
2004-12-12,2.3,13.3,-1.3
2004-12-13,-0.4,7.9,-3.2
2004-12-14,0.4,10.1,-2.9
2004-12-15,5.2,14.8,2
2004-12-16,2.7,13.3,-0.8
2004-12-17,0.8,9.7,-2.3
2004-12-18,1.1,7.9,-1.4
2004-12-19,0.7,12.2,-3
2004-12-20,-5.5,18.7,-11.9
2004-12-21,-6.3,14.8,-12.1
2004-12-22,-6,13.7,-11.5
2004-12-23,-7.8,9,-12.3
2004-12-24,-3.8,6.1,-6.4
2004-12-25,-4.3,7.9,-7.8
2004-12-26,-4.9,13,-10
2004-12-27,-5.5,14.8,-11.2
2004-12-28,-6.7,12.2,-12
2004-12-29,-8.3,11.9,-13.8
2004-12-30,-7.9,7.9,-12
2005-01-01,-8.3,10.4,-13.4
2005-01-02,-4.9,8.6,-8.7
2005-01-03,-2,15.8,-7
2005-01-04,-7,15.5,-13.2
2005-01-05,-8.8,10.1,-13.9
2005-01-06,-3.4,9.4,-7.2
2005-01-07,-5.5,15.5,-11.3
2005-01-08,-7,14,-12.8
2005-01-09,-10.2,11.5,-16
2005-01-10,-10.2,10.1,-15.5
2005-01-11,-8.5,12.2,-14.2
2005-01-12,-8.5,11.2,-13.9
2005-01-13,-6.8,14.4,-12.7
2005-01-14,-7.1,9,-11.5
2005-01-15,-6,12.6,-11.2
2005-01-16,-4.7,14.4,-10.1
2005-01-17,-4,6.5,-6.8
2005-01-18,-3.4,14.4,-8.5
2005-01-19,-6,14,-11.6
2005-01-20,-7.6,15.8,-14
2005-01-21,-8.7,10.1,-13.7
2005-01-22,-7.3,8.3,-11.4
2005-01-23,-2.3,9.4,-5.9
2005-01-24,-0.8,6.8,-3.3
2005-01-25,-2.2,8.6,-5.5
2005-01-26,-1,6.1,-3.2
2005-01-27,-1.8,7.9,-4.8
2005-01-28,-2.5,7.2,-5.4
2005-01-29,-5.6,14,-11.1
2005-01-30,-9,14.8,-15.5
2005-02-01,-13.1,25.6,-22.9
2005-02-02,-10.7,11.5,-16.6
2005-02-03,-7.6,9.4,-12.2
2005-02-04,-5,10.1,-9.3
2005-02-05,-4.6,13.3,-9.7
2005-02-06,-5,9,-9
2005-02-07,-0.6,9,-3.8
2005-02-08,-0.7,8.3,-3.7
2005-02-09,-3.5,19.1,-9.5
2005-02-10,-8,16.6,-14.6
2005-02-11,-8.9,11.5,-14.4
2005-02-12,-7,10.1,-11.7
2005-02-13,-5.9,6.8,-9.2
2005-02-14,-2.5,11.9,-6.8
2005-02-15,2.8,26.3,-2.5
2005-02-16,0.9,24.5,-4.7
2005-02-17,0.1,6.8,-2.2
2005-02-18,3.1,18,-1.1
2005-02-19,-7.8,18.7,-14.8
2005-02-20,-9.4,14.8,-16
2005-02-21,-9.7,14,-16.1
2005-02-22,-4.5,11.5,-9.1
2005-02-23,-4.8,13,-9.9
2005-02-24,-5.9,9.7,-10.3
2005-02-25,-7.3,11.9,-12.6
2005-02-26,-8.7,10.8,-14
2005-02-27,-5.8,10.1,-10.3
2005-03-01,-3.8,13.7,-8.8
2005-03-02,-2,10.4,-5.8
2005-03-03,-4.4,7.9,-7.9
2005-03-04,-3.3,11.9,-7.8
2005-03-05,-3.6,9,-7.3
2005-03-06,-3.3,7.6,-6.5
2005-03-07,-1.1,8.6,-4.2
2005-03-08,2.1,14,-1.6
2005-03-09,-1.3,7.9,-4.2
2005-03-10,5.2,14.8,2
2005-03-11,-3.9,24.1,-10.8
2005-03-12,-6.1,18,-12.6
2005-03-13,-5.1,13,-10.2
2005-03-14,-1.7,10.1,-5.4
2005-03-15,1.4,10.1,-1.7
2005-03-16,3.5,9,1.1
2005-03-17,3.2,15.5,-0.6
2005-03-18,1.8,16.6,-2.5
2005-03-19,-0.6,6.1,-2.8
2005-03-20,3,10.1,0.2
2005-03-21,2.1,11.2,-1.1
2005-03-22,3.9,11.5,1
2005-03-23,5.3,16.9,1.8
2005-03-24,0.1,22,-5.4
2005-03-25,-1.5,16.6,-6.6
2005-03-26,2.6,9.4,-0.1
2005-03-27,6,8.3,4.2
2005-03-28,4.5,16.9,0.8
2005-03-29,2.7,10.8,-0.3
2005-03-30,2.8,11.9,-0.4
2005-04-01,6.4,5,5.7
2005-04-02,7.2,13.3,4.7
2005-04-03,5.8,13.7,2.9
2005-04-04,5.4,9.7,3.2
2005-04-05,7.3,9.7,5.5
2005-04-06,9.6,6.8,8.8
2005-04-08,7.5,7.9,6.1
2005-04-10,9.6,18.7,7
2005-04-12,7.9,10.4,6
2005-04-13,6.8,13.3,4.2
2005-04-14,6.4,9,4.5
2005-04-15,5.2,7.6,3.5
2005-04-16,6.5,6.8,5.2
2005-04-17,7.5,8.3,6
2005-04-20,7.9,17.6,5
2005-04-21,7.6,14.4,5
2005-04-22,7.6,15.8,4.8
2005-04-23,8.5,6.8,7.5
2005-04-24,9.4,7.2,8.5
2005-04-26,10,7.9,9
2005-05-01,25.4,54.3,25.9
2005-05-02,24.3,14.8,20.8
2005-05-03,26.4,13.7,22.4
2005-05-04,27.7,13.9,23.5
2005-05-05,26.6,36.5,25.5
2005-05-06,13.4,93.4,16.5
2005-05-07,19.8,45.7,19.8
2005-05-08,15.6,68.5,17.2
2005-05-09,17.5,37.6,17
2005-05-10,19.4,33.7,18.5
2005-05-11,16,53.6,16.7
2005-05-12,19.5,42.8,19.3
2005-05-13,23.4,29.5,21.8
2005-05-14,20.6,51,21
2005-05-15,25.3,40.4,24.6
2005-05-16,25.4,34.3,24.1
2005-05-17,23.2,52,23.5
2005-05-18,17.9,95.8,21.2
2005-05-19,22.6,46.2,22.5
2005-05-20,24.4,30.6,22.8
2005-05-21,22.9,22.7,20.6
2005-05-22,18.5,44.5,18.5
2005-05-23,20.1,49.2,20.4
